artist,text
soundgarden,"just a speck on the ground
i'm born again
i'm getting all depressed
i'm down sized inside
he loved me like a
i'll keep playing in the sand
i got my father's sense
i look like a man
i'm big like the sky
just as long as
i'll put my hand in flames
a fleck of a seed
i'll keep hanging from your hair
growing like a weed
i'm just a baby who looks like a boy
i feel like an ant
i'll put this all to rest
and my big brother's pants
i was just a kid
the kind mother likes"
perfect_circle,"you raise your sticks and cry and
how did you come
what time is this
to trade the fiddle for the drum
and so once again
johnny my dear friend
can we help you find the peace and the star
i ask you why
and so once again you are fightin' us all
all the good things you are
i ask you please
oh my friend
you are fighting us all
you raise your sticks and cry and we fall
to fear the beating of your drum
i help you find the peace and the star
and so we ask you please
we have all come
to trade the handshake for the fist
and when we ask you why
but we can remember
america my friend
i can remember
like the enemies you've earned
i have turned"
pearl_jam,"free of air and friction
put me in a vacuum
i will swing
feel it rising comatose with no fear of falling
blood on all the pistons
running my transmission
it rising
if it's illegal to be in love 
leave the hatred on the cross
for all eternity
feel it rising comatose with no fear of falling
feel it rising
for all eternity
leave me in my vacuum
free of all conditions"
soundgarden,"long time coming
it seemed to satisfy
many served the few
and long to taste the shame
you longed to taste the shame
it seemed to get me by
give me little bits of more than
that bows down before you
that everybody tries
if it sits upon your tongue or naked in your eyes
it seemed to take me through"
perfect_circle,"i works on the levee mama both night and day
when the levee breaks mama you got to lose
i had a woman she wouldn't do for me
and all these people have no place to stay
if it keeps on rainin' levee's goin' to break
i ain't got nobody keep the water away
oh cryin' won't help you prayin' won't do no good
thinkin' 'bout my baby and my happy home
i's a mean old levee cause me to weep and moan
i works so hard to keep the water away
gonna leave my baby and my happy home
i ain't got nobody to tell my troubles to
well all last night
and the water gonna come in have no place to stay
i'm goin' back to my used to be
now look here mama what am
i sat on the levee and moan"
soundgarden,"trapping it nobody's home
christmas king
santa you're my king
i love you baby"
alice_in_chains,"eat of the apple so young
i've written my own part
i'm crawling back to start
ignorance is spoken
a romance is fallen
i see is unreal"
pearl_jam,"i wanted to get right
hot to the touch
keeping your boots on float with the now
dregs of society
wait for the moment
underbelly beside me rejoice and follow thee
stand and debate
concrete underground cast out everyday
with it with you
out single file nine in a row swear if you must
harder to touch
i'm searching the haystacks water is sunshine
the moment between us the fire is made now
i'm waiting till sundown"
audioslave,"out of your mouth in every word
but you won't get far
i'll be your king
though you call me your number one zero
your nevermind
down in your ego one thing is sure
i will be the bird in your straw
i'll be creeping right up behind
though you tread upon me for no reason at all
i will keep you in the corner of my eye
i'll be your pawn
i will keep you
i will keep you in the corner of my eye
corner of my eye
be the little bird in your straw and sing you a song
out of your sleep out of your sight
if
i need to if
i will be creeping right up behind
cause baby if
i will builid a pedestal and put you upon it
i will be the dog at your feet
and come along when you call
i'll be there to take the fall
but just when you think you've left me blind"
tool,"he didn't learn and wanted children
he doesn't wanna see it
suicide or a slower death from addiction
seemed to be the only way to stop the pain
promote feelings of such hopelessness powerlessness
here they come feelings that come as natural
suicide seemed to be the only way to stop the pain
maynard screaming
give him your love give him your love to save him
what is there left to stay alive for
whatever left he considered a loss y'all
give him your love
he didn't wanna deal with it
living on the street shores
what is there left to keep him alive  she said
but you can't kill the revolution
don't run away give him your love to save him
running away getting some kinda cure
lies negative indoctrination of our good selves
you can kill the revolutionary"
